code,city,airport,country,provider,base,lat,lon
HJR,Khajuraho,Khajuraho Airport,India,SITA,131.725,24.8167,79.9167
HKD,Hakodate,Hakodate Airport,Japan,Avicom,131.45,41.7667,140.8167
HKG,Hong-Kong,Hong-Kong Int’l Airport,Hong-Kong,SITA,131.55,22.3000,113.9167
HLA,Lanseria,Lanseria Airport,South Africa,SITA,131.725,-25.9333,27.9167
HLN,Helena/MT,Helena Rgnl Airport,USA,SITA,136.85,46.6000,-112.0000
HLZ,Hamilton,Hamilton Int’l Airport,New Zealand,SITA,131.55,-37.8667,175.3167
HMA,Khanty-Mansiysk,Khanty-Mansiysk Airport,Russia,SITA,131.725,61.0333,69.0833
HMO,Hermosillo,General Ignacio Pesqueira Garcia Int’l Airport,Mexico,SITA,131.725,29.0833,-111.0500
HMO,Hermosillo,General Ignacio Pesqueira Garcia Int’l Airport,Mexico,SITA,136.85,29.0833,-111.0500
HNA,Morioka-Hanamaki,Hanamaki Airport,Japan,Avicom,131.45,39.4167,141.1333
HND,Haneda,Tokyo International Airport (Haneda),Japan,Avicom,131.45,35.5500,139.7833
HNL,Honolulu/HI,Honolulu Int’l Airport,USA,SITA,136.85,21.3167,-157.9000
HOG,Holguin,Aeropuerto Internacional Frank Pais,Cuba,SITA,131.725,20.8000,-76.3167
HOU,Houston/TX,William P. Hobby Airport,USA,SITA,136.85,29.6333,-95.2667
HPH,Hai Phong,Cat Bi International Airport,Viet Nam,SITA,131.55,20.8167,106.7167
HPN,White Plains/NY,Westchester County Airport,USA,SITA,136.85,41.0500,-73.7167
HRE,Harare,Harare Int’l Airport,Zimbabwe,SITA,131.725,-17.9167,31.1000
HRG,Hurghada,Hurghada Int’l Airport,Egypt,SITA,131.725,27.1833,33.8000
HRL,Harlingen/TX,Valley Int’l Airport,USA,SITA,136.85,26.2167,-97.6333
HSG,Saga,Saga Airport,Japan,Avicom,131.45,33.1500,130.3000
HSV,Huntsville/AL,Huntsville Int’l Carl T. Jones Field,USA,SITA,136.85,34.6500,-86.7667
HTI,Hamilton Islands,Hamilton Islands - Great Barrier Reef Airport,Australia,SITA,131.55,-20.3500,148.9500
HTS,Huntington/WV,Tri States Airport/ Milton J. Ferguson Field,USA,SITA,136.85,38.3667,-82.5500
HUI,Hue,Phu Bai International Airport,Viet Nam,SITA,131.55,16.4000,107.7000
HUN,Hualien,Hualien Airport,Taiwan,SITA,131.55,24.0167,121.6000
HVN,New Haven/CT,Tweed New Haven Rgnl Airport,USA,SITA,136.85,41.2667,-72.8833
HYA,Hyannis,Barnstable Municipal Airport,USA,SITA,136.85,41.6667,-70.2667
HYD,Hyderabad,Rajiv Gandhi Int’l Airport,India,SITA,131.725,17.4500,78.4667
IAD,Dulles/VA,Washington Dulles International Airport,USA,SITA,136.85,38.9333,-77.4167
